DATE,ASPUS,ASPUS_Q_PCT_CHG,ASPUS_A_PCT_CHG,ASPUS_2A_PCT_CHG
1/1/1963,19300,0,0,0
4/1/1963,19400,0.52%,0,0
7/1/1963,19200,-1.03%,0,0
10/1/1963,19600,2.08%,1.55%,0
1/1/1964,19600,0.00%,1.03%,0
4/1/1964,20200,3.06%,5.21%,0
7/1/1964,20500,1.49%,4.59%,0
10/1/1964,20900,1.95%,6.63%,8.29%
1/1/1965,21500,2.87%,6.44%,10.82%
4/1/1965,21000,-2.33%,2.44%,9.38%
7/1/1965,21600,2.86%,3.35%,10.20%
10/1/1965,21700,0.46%,0.93%,10.71%
1/1/1966,22700,4.61%,8.10%,12.38%
4/1/1966,23200,2.20%,7.41%,13.17%
7/1/1966,23000,-0.86%,5.99%,10.05%
10/1/1966,22800,-0.87%,0.44%,6.05%
1/1/1967,24000,5.26%,3.45%,14.29%
4/1/1967,24200,0.83%,5.22%,12.04%
7/1/1967,23900,-1.24%,4.82%,10.14%
10/1/1967,24400,2.09%,1.67%,7.49%
1/1/1968,25400,4.10%,4.96%,9.48%
4/1/1968,26700,5.12%,11.72%,16.09%
7/1/1968,26600,-0.37%,9.02%,16.67%
10/1/1968,27000,1.50%,6.30%,12.50%
1/1/1969,27600,2.22%,3.37%,14.05%
4/1/1969,28100,1.81%,5.64%,17.57%
7/1/1969,28100,0.00%,4.07%,15.16%
10/1/1969,27100,-3.56%,-1.81%,6.69%
1/1/1970,27000,-0.37%,-3.91%,1.12%
4/1/1970,27300,1.11%,-2.85%,2.63%
7/1/1970,26000,-4.76%,-4.06%,-3.70%
10/1/1970,26300,1.15%,-2.59%,-4.71%
1/1/1971,27300,3.80%,0.00%,-2.85%
4/1/1971,28600,4.76%,10.00%,1.78%
7/1/1971,28300,-1.05%,7.60%,4.43%
10/1/1971,28200,-0.35%,3.30%,4.44%
1/1/1972,29000,2.84%,1.40%,6.23%
4/1/1972,29400,1.38%,3.89%,13.08%
7/1/1972,30300,3.06%,7.45%,15.21%
10/1/1972,31600,4.29%,8.97%,15.75%
1/1/1973,32800,3.80%,11.56%,14.69%
4/1/1973,35100,7.01%,15.84%,24.03%
7/1/1973,35900,2.28%,13.61%,27.30%
10/1/1973,36600,1.95%,11.59%,26.21%
1/1/1974,38000,3.83%,8.26%,29.25%
4/1/1974,38600,1.58%,7.52%,27.39%
7/1/1974,39000,1.04%,6.56%,23.42%
10/1/1974,39300,0.77%,3.42%,19.82%
1/1/1975,40900,4.07%,5.96%,16.52%
4/1/1975,42600,4.16%,9.23%,18.66%
7/1/1975,42200,-0.94%,7.38%,15.30%
10/1/1975,44400,5.21%,8.56%,16.84%
1/1/1976,46000,3.60%,7.98%,19.17%
4/1/1976,47800,3.91%,13.27%,22.56%
7/1/1976,48100,0.63%,8.33%,22.39%
10/1/1976,50300,4.57%,9.35%,22.98%
1/1/1977,51600,2.58%,7.95%,21.13%
4/1/1977,54300,5.23%,12.89%,28.67%
7/1/1977,54000,-0.55%,7.36%,21.62%
10/1/1977,57500,6.48%,11.43%,25.00%
1/1/1978,59300,3.13%,9.21%,24.06%
4/1/1978,61600,3.88%,14.07%,28.07%
7/1/1978,63500,3.08%,10.43%,26.24%
10/1/1978,66400,4.57%,11.97%,28.68%
1/1/1979,68300,2.86%,10.88%,25.78%
4/1/1979,72400,6.00%,14.02%,34.07%
7/1/1979,74200,2.49%,11.75%,29.04%
10/1/1979,72700,-2.02%,6.44%,22.60%
1/1/1980,73600,1.24%,1.66%,19.48%
4/1/1980,74400,1.09%,0.27%,17.17%
7/1/1980,77500,4.17%,6.60%,16.72%
10/1/1980,80000,3.23%,8.70%,17.13%
1/1/1981,80900,1.13%,8.74%,11.74%
4/1/1981,84300,4.20%,8.77%,13.61%
7/1/1981,83800,-0.59%,4.75%,15.27%
10/1/1981,83700,-0.12%,3.46%,13.72%
1/1/1982,81200,-2.99%,-3.68%,9.14%
4/1/1982,85700,5.54%,2.27%,10.58%
7/1/1982,83900,-2.10%,0.24%,4.88%
10/1/1982,84600,0.83%,4.19%,4.57%
1/1/1983,86700,2.48%,1.17%,2.85%
4/1/1983,89100,2.77%,6.20%,6.32%
7/1/1983,92500,3.82%,9.34%,10.51%
10/1/1983,90800,-1.84%,4.73%,11.82%
1/1/1984,94700,4.30%,6.29%,10.50%
4/1/1984,99200,4.75%,7.24%,18.24%
7/1/1984,98500,-0.71%,8.48%,16.43%
10/1/1984,97800,-0.71%,3.27%,12.80%
1/1/1985,98500,0.72%,-0.71%,10.55%
4/1/1985,100500,2.03%,2.03%,8.65%
7/1/1985,100500,0.00%,2.76%,10.68%
10/1/1985,103800,3.28%,5.38%,9.61%
1/1/1986,106300,2.41%,5.77%,7.16%
4/1/1986,112000,5.36%,11.44%,13.71%
7/1/1986,114400,2.14%,10.21%,16.97%
10/1/1986,115600,1.05%,8.75%,17.36%
1/1/1987,120800,4.50%,7.86%,20.20%
4/1/1987,126100,4.39%,10.23%,25.47%
7/1/1987,129900,3.01%,12.37%,25.14%
10/1/1987,133500,2.77%,10.51%,25.59%
1/1/1988,137900,3.30%,9.36%,23.13%
4/1/1988,134800,-2.25%,3.77%,17.83%
7/1/1988,141500,4.97%,5.99%,22.40%
10/1/1988,140400,-0.78%,1.81%,16.23%
1/1/1989,144300,2.78%,7.05%,14.43%
4/1/1989,146800,1.73%,3.75%,13.01%
7/1/1989,150200,2.32%,6.98%,12.51%
10/1/1989,151200,0.67%,4.78%,9.64%
1/1/1990,149500,-1.12%,1.84%,10.91%
4/1/1990,151200,1.14%,0.67%,6.86%
7/1/1990,145500,-3.77%,-3.77%,3.63%
