DATE,MSPNHSUS,MSPNHS_M_PCT_CHG,MSPNHS_Q_PCT_CHG,MSPNHS_A_PCT_CHG,MSPNHS_2A_PCT_CHG
1/1/1963,17200,0,0,0,0
2/1/1963,17700,2.91%,0,0,0
3/1/1963,18200,2.82%,5.81%,0,0
4/1/1963,18200,0.00%,2.82%,0,0
5/1/1963,17500,-3.85%,-3.85%,0,0
6/1/1963,18000,2.86%,-1.10%,0,0
7/1/1963,18400,2.22%,5.14%,0,0
8/1/1963,17800,-3.26%,-1.11%,0,0
9/1/1963,17900,0.56%,-2.72%,0,0
10/1/1963,17600,-1.68%,-1.12%,0,0
11/1/1963,18400,4.55%,2.79%,0,0
12/1/1963,18700,1.63%,6.25%,8.72%,0
1/1/1964,17800,-4.81%,-3.26%,0.56%,0
2/1/1964,18000,1.12%,-3.74%,-1.10%,0
3/1/1964,19000,5.56%,6.74%,4.40%,0
4/1/1964,18800,-1.05%,4.44%,7.43%,0
5/1/1964,19300,2.66%,1.58%,7.22%,0
6/1/1964,18800,-2.59%,0.00%,2.17%,0
7/1/1964,19100,1.60%,-1.04%,7.30%,0
8/1/1964,18900,-1.05%,0.53%,5.59%,0
9/1/1964,18900,0.00%,-1.05%,7.39%,0
10/1/1964,18900,0.00%,0.00%,2.72%,0
11/1/1964,19300,2.12%,2.12%,3.21%,0
12/1/1964,21000,8.81%,11.11%,17.98%,22.09%
1/1/1965,20700,-1.43%,7.25%,15.00%,16.95%
2/1/1965,20400,-1.45%,-2.86%,7.37%,12.09%
3/1/1965,19800,-2.94%,-4.35%,5.32%,8.79%
4/1/1965,19900,0.51%,-2.45%,3.11%,13.71%
5/1/1965,19600,-1.51%,-1.01%,4.26%,8.89%
6/1/1965,19800,1.02%,-0.50%,3.66%,7.61%
7/1/1965,21000,6.06%,7.14%,11.11%,17.98%
8/1/1965,20200,-3.81%,2.02%,6.88%,12.85%
9/1/1965,19600,-2.97%,-6.67%,3.70%,11.36%
10/1/1965,19900,1.53%,-1.49%,3.11%,8.15%
11/1/1965,20600,3.52%,5.10%,-1.90%,10.16%
12/1/1965,20300,-1.46%,2.01%,-1.93%,14.04%
1/1/1966,21200,4.43%,2.91%,3.92%,17.78%
2/1/1966,20900,-1.42%,2.96%,5.56%,10.00%
3/1/1966,20800,-0.48%,-1.89%,4.52%,10.64%
4/1/1966,23000,10.58%,10.05%,17.35%,19.17%
5/1/1966,22300,-3.04%,7.21%,12.63%,18.62%
6/1/1966,21200,-4.93%,-7.83%,0.95%,10.99%
7/1/1966,21800,2.83%,-2.24%,7.92%,15.34%
8/1/1966,20700,-5.05%,-2.36%,5.61%,9.52%
9/1/1966,22200,7.25%,1.83%,11.56%,17.46%
10/1/1966,20800,-6.31%,0.48%,0.97%,7.77%
11/1/1966,21700,4.33%,-2.25%,6.90%,3.33%
12/1/1966,21700,0.00%,4.33%,2.36%,4.83%
1/1/1967,22200,2.30%,2.30%,6.22%,8.82%
2/1/1967,22400,0.90%,3.23%,7.69%,13.13%
3/1/1967,22400,0.00%,0.90%,-2.61%,12.56%
4/1/1967,22300,-0.45%,-0.45%,0.00%,13.78%
5/1/1967,23700,6.28%,5.80%,11.79%,19.70%
6/1/1967,23900,0.84%,7.17%,9.63%,13.81%
7/1/1967,23300,-2.51%,-1.69%,12.56%,15.35%
8/1/1967,21700,-6.87%,-9.21%,-2.25%,10.71%
9/1/1967,22800,5.07%,-2.15%,9.62%,14.57%
10/1/1967,22300,-2.19%,2.76%,2.76%,8.25%
11/1/1967,23100,3.59%,1.32%,6.45%,13.79%
12/1/1967,22200,-3.90%,-0.45%,0.00%,4.72%
1/1/1968,23400,5.41%,1.30%,4.46%,11.96%
2/1/1968,23500,0.43%,5.86%,4.91%,12.98%
3/1/1968,24600,4.68%,5.13%,10.31%,6.96%
4/1/1968,24500,-0.41%,4.26%,3.38%,9.87%
5/1/1968,25300,3.27%,2.85%,5.86%,19.34%
6/1/1968,25400,0.40%,3.67%,9.01%,16.51%
7/1/1968,24600,-3.15%,-2.77%,13.36%,18.84%
8/1/1968,25000,1.63%,-1.57%,9.65%,12.61%
9/1/1968,25000,0.00%,1.63%,12.11%,20.19%
10/1/1968,25600,2.40%,2.40%,10.82%,17.97%
11/1/1968,24600,-3.91%,-1.60%,10.81%,13.36%
12/1/1968,26500,7.72%,3.52%,13.25%,19.37%
1/1/1969,24600,-7.17%,0.00%,4.68%,9.82%
2/1/1969,26000,5.69%,-1.89%,5.69%,16.07%
3/1/1969,26200,0.77%,6.50%,6.94%,17.49%
4/1/1969,25900,-1.15%,-0.38%,2.37%,9.28%
5/1/1969,26900,3.86%,2.67%,5.91%,12.55%
6/1/1969,25200,-6.32%,-2.70%,2.44%,8.15%
7/1/1969,26800,6.35%,-0.37%,7.20%,23.50%
8/1/1969,24900,-7.09%,-1.19%,-0.40%,9.21%
9/1/1969,26000,4.42%,-2.99%,1.56%,16.59%
10/1/1969,24400,-6.15%,-2.01%,-0.81%,5.63%
11/1/1969,24900,2.05%,-4.23%,-6.04%,12.16%
12/1/1969,25100,0.80%,2.87%,2.03%,7.26%
1/1/1970,23600,-5.98%,-5.22%,-9.23%,0.43%
