DATE,GDP_M,GDP_M_PCT_CHG,GDP_Q_PCT_CHG,GDP_A_PCT_CHG,GDP_2A_PCT_CHG,
1/1/1962,7.3,0.00,0.00,0.00,0.00,
2/1/1962,6.1,-0.16,0.00,0.00,0.00,
3/1/1962,4.9,-0.20,-0.33,0.00,0.00,
4/1/1962,3.7,-0.24,-0.39,0.00,0.00,
5/1/1962,4.13,0.12,-0.16,0.00,0.00,
6/1/1962,4.57,0.10,0.23,0.00,0.00,
7/1/1962,5,0.09,0.21,0.00,0.00,
8/1/1962,3.77,-0.25,-0.18,0.00,0.00,
9/1/1962,2.53,-0.33,-0.49,0.00,0.00,
10/1/1962,1.3,-0.49,-0.65,0.00,0.00,
11/1/1962,2.33,0.79,-0.08,0.00,0.00,
12/1/1962,3.37,0.44,1.59,-0.54,0.00,
1/1/1963,4.4,0.31,0.89,-0.28,0.00,
2/1/1963,4.47,0.02,0.33,-0.09,0.00,
3/1/1963,4.53,0.01,0.03,0.23,0.00,
4/1/1963,4.6,0.01,0.03,0.11,0.00,
5/1/1963,6.1,0.33,0.35,0.34,0.00,
6/1/1963,7.6,0.25,0.65,0.52,0.00,
7/1/1963,9.1,0.20,0.49,1.42,0.00,
8/1/1963,6.93,-0.24,-0.09,1.74,0.00,
9/1/1963,4.77,-0.31,-0.48,2.67,0.00,
10/1/1963,2.6,-0.45,-0.63,0.11,0.00,
11/1/1963,4.63,0.78,-0.03,0.38,0.00,
12/1/1963,6.67,0.44,1.56,0.52,-0.09,
1/1/1964,8.7,0.31,0.88,0.95,0.43,
2/1/1964,7.27,-0.16,0.09,0.60,0.48,
3/1/1964,5.83,-0.20,-0.33,0.27,0.58,
4/1/1964,4.4,-0.25,-0.39,-0.28,0.06,
5/1/1964,5.07,0.15,-0.13,-0.33,0.11,
6/1/1964,5.73,0.13,0.30,-0.37,0.15,
7/1/1964,6.4,0.12,0.26,-0.08,0.70,
8/1/1964,4.67,-0.27,-0.19,-0.02,0.84,
9/1/1964,2.93,-0.37,-0.54,0.13,1.26,
10/1/1964,1.2,-0.59,-0.74,-0.74,-0.49,
11/1/1964,4.13,2.44,0.41,-0.38,0.23,
12/1/1964,7.07,0.71,4.89,-0.19,0.61,
1/1/1965,10,0.42,1.42,0.38,1.24,
2/1/1965,8.37,-0.16,0.18,0.43,0.85,
3/1/1965,6.73,-0.20,-0.33,0.53,0.46,
4/1/1965,5.1,-0.24,-0.39,0.01,-0.16,
5/1/1965,6.47,0.27,-0.04,0.13,-0.15,
6/1/1965,7.83,0.21,0.54,0.22,-0.14,
7/1/1965,9.2,0.17,0.42,0.97,0.33,
8/1/1965,9.3,0.01,0.19,2.17,0.95,
9/1/1965,9.4,0.01,0.02,6.83,2.62,
10/1/1965,9.5,0.01,0.02,1.30,1.05,
11/1/1965,9.7,0.02,0.03,0.37,0.46,
12/1/1965,9.9,0.02,0.04,-0.01,0.14,
1/1/1966,10.1,0.02,0.04,0.21,0.39,
2/1/1966,7.2,-0.29,-0.27,0.07,0.23,
3/1/1966,4.3,-0.40,-0.57,-0.16,-0.02,
4/1/1966,1.4,-0.67,-0.81,-0.78,-0.72,
5/1/1966,2.07,0.48,-0.52,-0.74,-0.64,
6/1/1966,2.73,0.32,0.95,-0.70,-0.57,
7/1/1966,3.4,0.24,0.65,-0.63,-0.27,
8/1/1966,3.37,-0.01,0.23,-0.64,0.15,
9/1/1966,3.33,-0.01,-0.02,-0.65,1.78,
10/1/1966,3.3,-0.01,-0.02,-0.66,-0.20,
11/1/1966,3.4,0.03,0.02,-0.66,-0.52,
12/1/1966,3.5,0.03,0.06,-0.65,-0.65,
1/1/1967,3.6,0.03,0.06,-0.50,-0.57,
2/1/1967,2.47,-0.31,-0.30,-0.43,-0.63,
3/1/1967,1.33,-0.46,-0.63,-0.05,-0.74,
4/1/1967,0.2,-0.85,-0.92,-0.90,-0.97,
5/1/1967,1.4,6.00,0.05,-0.49,-0.82,
6/1/1967,2.6,0.86,12.00,-0.24,-0.72,
7/1/1967,3.8,0.46,1.71,0.13,-0.59,
8/1/1967,3.53,-0.07,0.36,0.06,-0.62,
9/1/1967,3.27,-0.08,-0.14,-0.01,-0.66,
10/1/1967,3,-0.08,-0.15,-0.12,-0.69,
11/1/1967,4.8,0.60,0.47,0.37,-0.52,
12/1/1967,6.6,0.38,1.20,0.83,-0.35,
1/1/1968,8.4,0.27,0.75,2.41,0.17,
2/1/1968,7.9,-0.06,0.20,4.93,0.84,
3/1/1968,7.4,-0.06,-0.12,36.00,4.29,
4/1/1968,6.9,-0.07,-0.13,3.93,2.34,
5/1/1968,5.63,-0.18,-0.24,1.17,1.06,
6/1/1968,4.37,-0.22,-0.37,0.15,0.28,
7/1/1968,3.1,-0.29,-0.45,-0.12,-0.08,
8/1/1968,2.6,-0.16,-0.40,-0.20,-0.22,
9/1/1968,2.1,-0.19,-0.32,-0.30,-0.36,
10/1/1968,1.6,-0.24,-0.38,-0.67,-0.53,
11/1/1968,3.2,1.00,0.52,-0.52,-0.09,
12/1/1968,4.8,0.50,2.00,-0.43,0.33,
1/1/1969,6.4,0.33,1.00,-0.19,1.59,
2/1/1969,4.67,-0.27,-0.03,-0.37,2.50,
3/1/1969,2.93,-0.37,-0.54,-0.57,13.67,
4/1/1969,1.2,-0.59,-0.74,-0.79,-0.14,
5/1/1969,1.7,0.42,-0.42,-0.61,-0.35,
6/1/1969,2.2,0.29,0.83,-0.29,-0.42,
7/1/1969,2.7,0.23,0.59,0.04,-0.24,
8/1/1969,1.17,-0.57,-0.47,-0.44,-0.64,
9/1/1969,-0.37,-1.31,-1.14,-1.23,-1.12,
10/1/1969,-1.9,4.18,-2.63,-1.59,-1.40,
11/1/1969,-1.47,-0.23,3.00,-1.31,-1.22,
12/1/1969,-1.03,-0.30,-0.46,-1.16,-1.12,
1/1/1970,-0.6,-0.42,-0.59,-1.13,-1.08,
2/1/1970,-0.2,-0.67,-0.81,-1.07,-1.03,
