DATE,SHARE_M
1/1/1962,-3.24005891
2/1/1962,0.913242009
3/1/1962,0.301659125
4/1/1962,-3.308270677
5/1/1962,-6.687402799
6/1/1962,-11.16666667
7/1/1962,1.688555347
8/1/1962,3.505535055
9/1/1962,-0.891265597
10/1/1962,-2.697841727
11/1/1962,8.31792976
12/1/1962,3.071672355
1/1/1963,3.642384106
2/1/1963,1.118210863
3/1/1963,-0.789889415
4/1/1963,4.936305732
5/1/1963,1.820940819
6/1/1963,-0.149031297
7/1/1963,-2.537313433
8/1/1963,1.837672282
9/1/1963,3.458646617
10/1/1963,1.162790698
11/1/1963,-0.574712644
12/1/1963,2.312138728
1/1/1964,2.259887006
2/1/1964,2.071823204
3/1/1964,2.435723951
4/1/1964,1.05680317
5/1/1964,0.261437908
6/1/1964,-0.651890482
7/1/1964,3.578066914
8/1/1964,-1.076716016
9/1/1964,1.836734694
10/1/1964,1.892674237
11/1/1964,0.699300699
12/1/1964,-1.779513889
1/1/1965,2.364118427
2/1/1965,0.863371466
3/1/1965,0.106997646
4/1/1965,1.303976058
5/1/1965,1.308292889
6/1/1965,-5.082274526
7/1/1965,-0.307219662
8/1/1965,2.047105437
9/1/1965,3.429680759
10/1/1965,2.294056309
11/1/1965,0.774719674
12/1/1965,0.384381954
1/1/1966,1.887357064
2/1/1966,-0.412596071
3/1/1966,-4.111653666
4/1/1966,2.731280603
5/1/1966,-5.516553637
6/1/1966,-0.55071611
7/1/1966,-0.294079633
8/1/1966,-5.914346767
9/1/1966,-3.960035641
10/1/1966,-1.176179139
11/1/1966,5.372159803
12/1/1966,0.980239963
1/1/1967,4.231809094
2/1/1967,3.84883716
3/1/1967,2.554106983
4/1/1967,1.846670939
5/1/1967,2.153668616
6/1/1967,-0.892179754
7/1/1967,2.234946297
8/1/1967,1.5345559
9/1/1967,1.457731293
10/1/1967,-0.182679116
11/1/1967,-3.252153127
12/1/1967,3.210918872
1/1/1968,0.34017061
2/1/1968,-4.799323453
3/1/1968,-2.377152434
4/1/1968,7.588107621
5/1/1968,3.048673023
6/1/1968,3.253894032
7/1/1968,-0.393583644
8/1/1968,-2.443679967
9/1/1968,3.207109856
10/1/1968,2.670747136
11/1/1968,1.923619718
12/1/1968,1.47764766
1/1/1969,-4.148843506
2/1/1969,-0.838370376
3/1/1969,-2.863374735
4/1/1969,1.646028164
5/1/1969,3.344734152
6/1/1969,-5.646619013
7/1/1969,-5.063298305
8/1/1969,-0.586300677
9/1/1969,0.520253081
10/1/1969,1.720818738
11/1/1969,1.090609857
12/1/1969,-5.513175985
1/1/1970,-0.703773952
2/1/1970,-3.484846619
3/1/1970,1.432514228
4/1/1970,-3.937986942
5/1/1970,-12.34473771
6/1/1970,-0.882673464
7/1/1970,-0.313781827
8/1/1970,2.740231315
9/1/1970,6.674613595
10/1/1970,2.122969931
11/1/1970,-0.477388398
12/1/1970,6.912028309
1/1/1971,4.663533189
2/1/1971,4.150871816
3/1/1971,2.76131282
4/1/1971,3.492416962
5/1/1971,-1.429560127
6/1/1971,-1.676631757
7/1/1971,-0.423862538
8/1/1971,-1.990972568
9/1/1971,2.258378478
10/1/1971,-2.153588679
11/1/1971,-4.828924162
12/1/1971,7.011053398
1/1/1972,4.440150812
2/1/1972,2.202223722
3/1/1972,2.596484264
