DATE,STOCK_MKT_M
1/1/1962,-1.194624191
4/1/1962,-10.52896725
7/1/1962,-6.587837838
10/1/1962,4.339963834
1/1/1963,9.012131716
4/1/1963,5.988341282
7/1/1963,0.3
10/1/1963,4.486540379
1/1/1964,5.916030534
4/1/1964,3.333333333
7/1/1964,3.101087207
10/1/1964,2.627442174
1/1/1965,1.998541211
4/1/1965,0.808066362
7/1/1965,-0.872526069
10/1/1965,5.982539001
1/1/1966,0.730722227
4/1/1966,-4.104472552
7/1/1966,-7.612755968
10/1/1966,-2.122610639
1/1/1967,10.40024683
4/1/1967,6.037488673
7/1/1967,3.898428302
10/1/1967,0.143277197
1/1/1968,-2.665140091
4/1/1968,7.38556565
7/1/1968,2.14402109
10/1/1968,5.839184476
1/1/1969,-4.065733047
4/1/1969,-0.312882184
7/1/1969,-7.892367238
10/1/1969,0.721216658
1/1/1970,-5.856810571
4/1/1970,-12.30635244
7/1/1970,-1.465822788
10/1/1970,9.626152547
1/1/1971,13.27608894
4/1/1971,5.179915655
7/1/1971,-2.597070186
10/1/1971,-2.336051034
1/1/1972,9.962300604
4/1/1972,2.706946137
7/1/1972,-0.010538872
10/1/1972,3.831964255
1/1/1973,-0.636120325
4/1/1973,-8.335227099
7/1/1973,-1.397201104
10/1/1973,-2.322582009
1/1/1974,-6.516579356
4/1/1974,-6.418873945
7/1/1974,-17.3137094
10/1/1974,-7.412919534
1/1/1975,13.97952866
4/1/1975,13.16092369
7/1/1975,-1.176618643
10/1/1975,0.762682188
1/1/1976,12.5759806
4/1/1976,2.089359721
7/1/1976,2.936424469
10/1/1976,-1.319924464
1/1/1977,0.567471221
4/1/1977,-2.23124173
7/1/1977,-0.658796407
10/1/1977,-3.748502838
1/1/1978,-4.045171828
4/1/1978,8.249455665
7/1/1978,6.609134424
10/1/1978,-5.179488196
1/1/1979,2.586339591
4/1/1979,2.564882474
7/1/1979,5.924106883
10/1/1979,-0.78444611
1/1/1980,5.233265741
4/1/1980,-2.212107931
7/1/1980,14.72050968
10/1/1980,8.21181619
1/1/1981,-1.646337773
4/1/1981,1.974764258
7/1/1981,-5.241885682
10/1/1981,-2.693367112
1/1/1982,-6.942264669
4/1/1982,-0.406950617
7/1/1982,-0.605125842
10/1/1982,20.51985982
1/1/1983,8.193878123
4/1/1983,10.23400155
7/1/1983,2.046428711
10/1/1983,-0.100592482
1/1/1984,-3.343116969
4/1/1984,-3.061158677
7/1/1984,2.918070907
10/1/1984,3.207793558
1/1/1985,7.703117979
4/1/1985,4.365513965
7/1/1985,1.913751664
10/1/1985,4.1185692
1/1/1986,11.65268623
4/1/1986,9.172286427
7/1/1986,0.203621628
10/1/1986,0.818169559
1/1/1987,13.8526015
4/1/1987,3.896289591
7/1/1987,8.146126053
10/1/1987,-20.05569722
1/1/1988,1.476123779
4/1/1988,2.437216048
7/1/1988,1.495518539
