DATE,LRUN_UEMP
1/1/1962,6.536095784
4/1/1962,5.53574871
7/1/1962,5.240545336
10/1/1962,5.072451995
1/1/1963,6.670449026
4/1/1963,5.844184616
7/1/1963,5.290768424
10/1/1963,5.151100405
1/1/1964,6.22343038
4/1/1964,5.406364377
7/1/1964,4.778979641
10/1/1964,4.575926538
1/1/1965,5.486419514
4/1/1965,4.842413646
7/1/1965,4.215692943
10/1/1965,3.775293929
1/1/1966,4.258805144
4/1/1966,4.04764525
7/1/1966,3.647815988
10/1/1966,3.374497405
1/1/1967,4.148606056
4/1/1967,3.814227039
7/1/1967,3.913448701
10/1/1967,3.687944867
1/1/1968,4.047431164
4/1/1968,3.561645616
7/1/1968,3.6391167
10/1/1968,3.185930869
1/1/1969,3.648116953
4/1/1969,3.466895549
7/1/1969,3.725530395
10/1/1969,3.391405397
1/1/1970,4.545285848
4/1/1970,4.74608149
7/1/1970,5.270495294
10/1/1970,5.471674431
1/1/1971,6.555563566
4/1/1971,5.918149485
7/1/1971,6.074218361
10/1/1971,5.618088313
1/1/1972,6.426741677
4/1/1972,5.678967148
7/1/1972,5.656802226
10/1/1972,4.991493578
1/1/1973,5.507886043
4/1/1973,4.924994198
7/1/1973,4.870880196
10/1/1973,4.499242541
1/1/1974,5.647497402
4/1/1974,5.181442333
7/1/1974,5.642111917
10/1/1974,6.237182845
1/1/1975,9.205318667
4/1/1975,8.761180425
7/1/1975,8.426852972
10/1/1975,7.85250563
1/1/1976,8.590240236
4/1/1976,7.452622374
7/1/1976,7.688961645
10/1/1976,7.414424287
1/1/1977,8.295350362
4/1/1977,7.012237879
7/1/1977,6.898889963
10/1/1977,6.323541004
1/1/1978,6.930482189
4/1/1978,5.901737523
7/1/1978,6.05534024
10/1/1978,5.649232898
1/1/1979,6.388759007
4/1/1979,5.675218897
7/1/1979,5.89883778
10/1/1979,5.732491073
1/1/1980,6.865673079
4/1/1980,7.302371996
7/1/1980,7.657490901
10/1/1980,7.197331367
1/1/1981,8.099690555
4/1/1981,7.400153201
7/1/1981,7.408333435
10/1/1981,8.05694613
1/1/1982,9.665097222
4/1/1982,9.493956477
7/1/1982,9.859303666
10/1/1982,10.42507162
1/1/1983,11.36691603
4/1/1983,10.17411833
7/1/1983,9.254692443
10/1/1983,8.326163807
1/1/1984,8.578298672
4/1/1984,7.51436742
7/1/1984,7.394081193
10/1/1984,7.062901563
1/1/1985,7.918482084
4/1/1985,7.309739346
7/1/1985,7.159857937
10/1/1985,6.828357539
1/1/1986,7.636379044
4/1/1986,7.206348477
7/1/1986,6.93049499
10/1/1986,6.614264669
1/1/1987,7.242231934
4/1/1987,6.314932904
7/1/1987,5.972708428
10/1/1987,5.658882523
1/1/1988,6.255443532
4/1/1988,5.497585181
7/1/1988,5.453306104
10/1/1988,5.150309811
1/1/1989,5.699385176
4/1/1989,5.256862575
7/1/1989,5.247394945
10/1/1989,5.158588689
1/1/1990,5.835885956
4/1/1990,5.374796718
7/1/1990,5.623762253
10/1/1990,5.856068682
1/1/1991,7.274091515
4/1/1991,6.859620366
7/1/1991,6.763793603
10/1/1991,6.811981849
1/1/1992,8.155904475
4/1/1992,7.592329524
7/1/1992,7.562593243
10/1/1992,7.118920203
1/1/1993,7.859662441
4/1/1993,7.105723322
7/1/1993,6.783344801
10/1/1993,6.353330619
1/1/1994,7.193698703
4/1/1994,6.184276892
7/1/1994,5.982875964
10/1/1994,5.31437028
1/1/1995,5.97105
4/1/1995,5.672956741
7/1/1995,5.657255565
10/1/1995,5.274278304
1/1/1996,6.081306749
4/1/1996,5.455593745
7/1/1996,5.283515313
10/1/1996,5.009321978
1/1/1997,5.743595619
4/1/1997,4.962808725
7/1/1997,4.876665468
10/1/1997,4.402033652
1/1/1998,5.112440556
4/1/1998,4.395902436
7/1/1998,4.548279121
10/1/1998,4.143811216
1/1/1999,4.693564648
4/1/1999,4.213034657
7/1/1999,4.261384232
10/1/1999,3.844163909
1/1/2000,4.414759839
4/1/2000,3.914981393
7/1/2000,4.046417969
10/1/2000,3.707781024
1/1/2001,4.635939645
4/1/2001,4.413784551
7/1/2001,4.822264863
10/1/2001,5.274768913
1/1/2002,6.255174597
4/1/2002,5.818407837
7/1/2002,5.724222835
10/1/2002,5.609055677
1/1/2003,6.398401458
4/1/2003,6.137356049
7/1/2003,6.09912974
10/1/2003,5.611479294
1/1/2004,6.174831411
4/1/2004,5.565399006
7/1/2004,5.455715129
10/1/2004,5.195862529
1/1/2005,5.701041458
4/1/2005,5.089599656
7/1/2005,5.019760241
10/1/2005,4.765463868
1/1/2006,5.099587996
4/1/2006,4.663575571
7/1/2006,4.709305467
10/1/2006,4.283272677
1/1/2007,4.873724013
4/1/2007,4.482589598
7/1/2007,4.724266132
10/1/2007,4.619742016
1/1/2008,5.325489569
4/1/2008,5.319502739
7/1/2008,6.090380512
10/1/2008,6.654729929
1/1/2009,8.920568302
4/1/2009,9.24132584
7/1/2009,9.708591957
10/1/2009,9.641138616
1/1/2010,10.53904987
4/1/2010,9.646366016
7/1/2010,9.607654194
10/1/2010,9.279039958
1/1/2011,9.646167313
4/1/2011,9.040165984
7/1/2011,9.166256044
10/1/2011,8.412814373
1/1/2012,8.761514873
4/1/2012,8.108409309
7/1/2012,8.185103788
10/1/2012,7.607360938
1/1/2013,8.181823671
4/1/2013,7.509379135
7/1/2013,7.4739376
10/1/2013,6.775757476
1/1/2014,7.08229162
4/1/2014,6.151049003
7/1/2014,6.247846522
10/1/2014,5.540235015
1/1/2015,5.915209826
4/1/2015,5.377157851
7/1/2015,5.274545016
10/1/2015,4.898545756
1/1/2016,5.277504766
4/1/2016,4.848598763
7/1/2016,5.029616673
10/1/2016,4.57818278
1/1/2017,4.922868987
4/1/2017,4.27858368
7/1/2017,4.467626737
10/1/2017,3.95007048
1/1/2018,4.390029981
4/1/2018,3.856372576
7/1/2018,3.881915177
10/1/2018,3.623180611
