,ASPUS_M,H_RATIO_M,HSN1F_M,PERMIT_M,STOCK_MKT_M,BAA10YM,US10Y_M,RPCE_M,LRUN_UEMP,GDP_M
1962-01-01,19300.0,4.7,591.0,1122,-1.194624191,1.0,4.08,4.3,6.536095784,7.3
1962-02-01,19300.0,4.7,591.0,1194,-10.52896725,1.03,4.04,4.53,6.202646759333333,6.1
1962-03-01,19300.0,4.7,591.0,1134,-10.52896725,1.11,3.93,4.77,5.869197734666667,4.9
1962-04-01,19300.0,4.7,591.0,1235,-10.52896725,1.18,3.84,5.0,5.53574871,3.7
1962-05-01,19300.0,4.7,591.0,1142,-6.587837838,1.13,3.87,4.4,5.437347585333334,4.133333333333334
1962-06-01,19300.0,4.7,591.0,1154,-6.587837838,1.11,3.91,3.8,5.338946460666667,4.566666666666666
1962-07-01,19300.0,4.7,591.0,1189,-6.587837838,1.04,4.01,3.2,5.240545336,5.0
1962-08-01,19300.0,4.7,591.0,1200,4.339963834,1.08,3.98,4.07,5.184514222333333,3.7666666666666666
1962-09-01,19300.0,4.7,591.0,1223,4.339963834,1.05,3.98,4.93,5.128483108666667,2.533333333333333
1962-10-01,19300.0,4.7,591.0,1181,4.339963834,1.06,3.93,5.8,5.072451995,1.3
1962-11-01,19300.0,4.7,591.0,1236,9.012131716,1.04,3.92,4.8,5.6051176719999996,2.3333333333333335
1962-12-01,19300.0,4.7,591.0,1236,9.012131716,1.06,3.86,3.8,6.137783349,3.366666666666667
1963-01-01,19300.0,4.7,591.0,1248,9.012131716,1.08,3.83,2.8,6.670449026,4.4
1963-02-01,19333.33333,6.6,464.0,1212,5.988341282,0.97,3.92,3.13,6.3950275560000005,4.466666666666667
1963-03-01,19366.66667,6.4,461.0,1258,5.988341282,0.95,3.93,3.47,6.119606086,4.533333333333333
1963-04-01,19400.0,5.3,605.0,1288,5.988341282,0.9,3.97,3.8,5.844184616000001,4.6
1963-05-01,19333.33333,5.1,586.0,1350,0.3,0.92,3.93,4.37,5.659712552,6.1
1963-06-01,19266.66667,6.0,526.0,1345,0.3,0.85,3.99,4.93,5.475240488,7.6
